,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,-2000,8.5,67,1170464,85
1,Memento,-2000,8.5,80,1003040,85
2,Snatch,-2000,8.3,55,699650,83
3,Requiem for a Dream,-2000,8.3,68,680082,83
4,X-Men,-2000,7.4,64,520965,74
5,Cast Away,-2000,7.8,73,459286,78
6,American Psycho,-2000,7.6,64,417914,76
7,Unbreakable,-2000,7.3,62,309760,73
8,Meet the Parents,-2000,7,73,287908,70
9,Mission: Impossible II,-2000,6.1,59,282677,61
10,"O Brother, Where Art Thou?",-2000,7.8,69,257441,78
11,Gone in Sixty Seconds,-2000,6.5,35,241099,65
12,"Crouching Tiger, Hidden Dragon",-2000,7.9,93,236163,79
13,The Patriot,-2000,7.2,63,232171,72
14,Almost Famous,-2000,7.9,90,230702,79
15,Pitch Black,-2000,7.1,49,211006,71
16,Scary Movie,-2000,6.2,48,210308,62
17,"Me, Myself & Irene",-2000,6.6,49,205812,66
18,Final Destination,-2000,6.7,36,205633,67
19,The Beach,(I) (2000),6.6,43,203071,66
20,Amores Perros,-2000,8.1,83,202580,81
21,Traffic,-2000,7.6,86,183657,76
22,Remember the Titans,-2000,7.8,48,180501,78
23,What Women Want,-2000,6.4,47,176709,64
24,How the Grinch Stole Christmas,-2000,6.1,46,173076,61
25,Chocolat,-2000,7.3,64,165534,73
26,Miss Congeniality,-2000,6.2,43,162959,62
27,Charlie's Angels,-2000,5.5,52,159926,55
28,Chicken Run,-2000,7,88,159589,70
29,Battle Royale,-2000,7.7,81,156389,77
30,High Fidelity,-2000,7.5,79,156126,75
31,The Emperor's New Groove,-2000,7.3,70,154455,73
32,Erin Brockovich,-2000,7.3,73,154225,73
33,Road Trip,-2000,6.5,55,146005,65
34,The Perfect Storm,-2000,6.4,59,144559,64
35,"Dude, Where's My Car?",-2000,5.5,30,126791,55
36,Hollow Man,-2000,5.7,24,112776,57
37,Scream 3,-2000,5.6,56,111756,56
38,Billy Elliot,-2000,7.7,74,111368,77
39,Shanghai Noon,-2000,6.6,77,109231,66
40,The 6th Day,-2000,5.9,49,108715,59
41,What Lies Beneath,-2000,6.6,51,108318,66
42,Pay It Forward,-2000,7.2,40,105661,72
